name,phone,address,website,rating,user_ratings_total
"Ülker Emlak Gayrimenkul","0532 713 33 32","Ülker Emlak Gayrimenkul, Seyrantepe, Maaşkuyu Cd. Serdar apt No 317/A, Şehitkamil","",4.6,52
"G.Z.T FUAR EMLAK","0533 273 26 46","Merveşehir, MERİNOS ARKASI, Şehitkamil","",4.5,2
"Alpak Gayrimenkul ve Danışmanlık","0533 571 35 16","Değirmiçem, Ömer Köylüoğlu Cd. No:10, Şehitkamil","https://alpakgayrimenkul.sahibinden.com/",5,1
"MORCA GAYRİMENKUL","(0342) 215 12 26","Pancarlı, Milli Egemenlik Cd. No:2, Sammezreası/Şehitkamil","",3,24
"TUTAK GAYRİMENKUL","0554 669 46 04","Karacaahmet, m.sait konukoglu bulvarı B blok sit no:24/A, Şehitkamil","",4.8,38
"TREND GAYRİMENKUL","(0342) 999 75 07","Pancarlı, Cemil Alevli Cd. No:47, Şehitkamil","",5,3
"Sururoğlu Emlak & İnşaat Gayrimenkul","(0342) 241 56 66","Belkız, 08026 nolu cadde No:6/A, Şehitkamil","",4.9,11
"GÜL EMLAK OFİSİ","0542 218 12 54","Şirinevler, 69019. Sk. No:2, Şehitkamil","http://www.ticaretmeclisi.com/",3.8,17
"Zeugma Park Gayrimenkul","0543 791 27 27","Değirmiçem, Göğüş Cd. no27 A, Şehitkamil","",5,8
"bozova emlak & inssat","0538 777 67 38","Karacaahmet 38020, Karacaahmet, Nolu Cd no :94, Şehitkamil","https://bozovaemlak.sahibinden.com/",3.9,39
"ALTUĞ 27 GAYRİMENKUL","0531 353 90 12","Atatürk, Şehitkamil","https://altug27gayrimenkulgaziantep.sahibinden.com/",3,4
"ZİRVE EMLAK","0532 598 93 43","Belkız, 8019. Cd. No:59, Şehitkamil","",3,2
"Mühür Emlak","","Batıkent, Adnan İnanıcı Cd., Şehitkamil","",5,1
"Şahin Emlak","0536 848 69 48","mahellesi, 29 Ekim, Maaşkuyu Cd. 98/a, Şehitkamil","",5,1
"GÜRSU PROPERTY","0532 260 72 33","Gürsu, Oğuzeli Yolu No:145 /A, Oğuzeli","",4.9,250
"Oğuzeli Emlak ve Gayrimenkul","","Oğuzlar, Mevlana Sk. No:4, Oğuzeli","",5,1
"OĞUZELİ EROL EMLAK GAYRİMENKUL DANIŞMANLIĞI","0535 635 04 75","Subaşı mahallesi, Mustafa Kemal, Atatürk Cd. No:40/A, Oğuzeli","",5,2
"Oğuzeli Nova Gayrimenkul Otomotiv","0532 646 48 85","Subaşı, Alparslan Türkeş Blv No:34/E, Oğuzeli","",5,1
"ELİT YATIRIM","0552 950 19 87","Oğuzeli Belediyesi Civarı, Oğuzlar, Kaçkar Sokak No:11, Oğuzeli","",5,1
"ADİL EMLAK & GAYRİMENKUL","","vilayet caddesi, Oğuzlar, emniyet sokak, Oğuzeli","https://adilozmaya.wixsite.com/adilemlak",5,3
"UĞUR GAYRİMENKUL OĞUZELİ","0544 290 74 72","Kurtuluş, barak cd no 39G, Oğuzeli","",4.3,6
"Özkanlar Gayrimenkul","","Subaşı, Oğuzeli","",5,2
"Faruk gayrimenkul emlak inşaat","","Subaşı, Alparslan Türkeş Blv No:22, Oğuzeli","",4.7,22
