name,phone,address,website,rating,user_ratings_total
"DENİZCAN Gayrimenkul & İnşaat ve Yatırım Danışmanlığı","0506 160 64 64","Yenidoğan, Yankı Sk. no:3/a, Gürsu","https://denizcangayrimenkulbursa.sahibinden.com/",5,16
"Abdullah İlbaş İnşaat Emlak","0553 670 15 90","Bağlaraltı, Kaptan Gazi Cd. No:109 D:B, Yıldırım","",5,1
"Dermu İnşaat & Gayrimenkul","0532 682 31 09","Değirmenönü Cumalıkızık Cd, Değirmenönü, 4. Güler Sk. No:2 D:B, Yıldırım","https://dermuemlakinsaat.sahibinden.com/",5,6
"DİNÇ EMLAK","0538 209 67 48","Bağlaraltı, KAPLANGAZİ CADDESİ NO:109/B, Yıldırım","",5,3
"Bursa Kral Emlak","0533 362 52 44","Esenevler, Erdoğan Cd. 5a, Yıldırım","https://bursakralemlak.sahibinden.com/",4.3,4
"HANCI EMLAK OFİSİ","(0224) 367 92 69","Siteler, Selçuk Bey Cd. No:122, Yıldırım","https://hanciemlakbursa.sahibinden.com/",4.3,6
"Yusuf Gayrimenkul","0541 422 20 56","Millet, Durmaz Sk. 8/D, Yıldırım","",3.9,10
"BAĞIROĞLU EMLAK İNŞAAT","0507 245 25 18","Çınarönü, Çınarönü Cd. No/48 D:1A, Yıldırım","","",""
"Pusula Gayrimenkul","0532 501 23 37","Mimarsinan, Mevlana Cd. No:30, Yıldırım","",4.7,3
"SÖYLEMEZ EMLAK GAYRİMENKUL","0545 433 32 11","75. Yıl, MAHALESİ KAPLAN GAZİ CADDESİ 82/A, Yıldırım","",4,5
"Kaçmaz emlak Maltepe temsilciliği","0540 066 10 16","Maltepe, Pekdağ Sk. no :18, Yıldırım","","",""
"TEKİN EMLAK","0537 270 08 66","Selçukbey Selçuk Bey Caddesi No:69 D:A, Yıldırım","http://www.bursatekinemlak.com/",5,4
"Güven Rentacar Emlak","0507 826 43 16","Duaçınarı, Uzun Cd. no:1/4, Yıldırım","","",""
"Örnek Emlak","0532 254 58 18","Beyazıt Mh., Kasım Önadım Blv. 13/B, Yıldırım","",4.3,6
"UĞUR EMLAK GAYRİMENKUL","0532 396 46 98","Siteler, Selçuk Bey Cd. NO: 140, Yıldırım","",3,2
"Sertur İnşaat & Emlak","(0224) 331 94 70","Değirmenönü, 3. Doğru Sk. No:1 D:1a, Yıldırım","","",""
"Ecem Emlak Gayrimenkul","0532 625 33 53","Bağlaraltı, 410. Sk. Tufanoğlu Sitesi D:16/1, Yıldırım","",3,2
"İSTANBUL EMLAK investtime","0505 737 90 89","yeni mah, cumhuriyet meydanı no 5/B, yenipazar","","",""
"Sahra Grup Emlak","0533 014 97 49","Arabayatağı, 1. Aykut Sk. No:16, Yıldırım","","",""
