name,phone,address,website,rating,user_ratings_total
"ALTIN EMLAK DİYARBAKIR MERKEZ TEMSİLCİLİĞİ","0541 774 67 59","BB DÖKER LİFE, Fırat, Jiyan Cd. B BLOK TİC, Kayapınar","",5,22
"Emlak ve Arsa Ofisi","","Medya Mahallesi Tekel Arkası 633. Sokak Azor My Home Sitesi Kayapınar Diyarbakır Medya Mahallesi Tekel Arkası 633. Sokak Azor My Home Sitesi, Kayapınar","",5,1
"Güneydoğu Emlak & Arsa Ofisi","","Fırat, Kayapınar","",5,1
"ARES AUTO & EMLAK ARSA OFISI","0532 459 62 64","bağcılar mahallesi havar caddesi. Ronoda, office altı, Bağlar","",5,1
"Kayalar Dinamik Gayrimenkul","0507 192 18 93","Medya Mah. 635. Sok Yaz Yap Sitesi Altı, Kayapınar","",5,20
"İskenderoğlu Emlak","0536 287 38 04","Medya, Diclekent Blv., Kayapınar","",4.6,13
"Azizoglu Emlak Ve Arsa Ofisi","0535 470 13 67","Bağcılar, Bağlar","",3.8,4
"Üveys Emlak Ve Arsa Ofisi","","Fırat, Kayapınar","",5,2
"Ersin Emlak & Arsa Ofisi","","Talaytepe, Kayapınar","",5,2
"DİYARBAKIR EMLAK DANIŞMANLARI BİRLİĞİ","0544 251 53 91","AY OFFİCE, Talaytepe, 4003 SOKAK NUMARA 51, Kayapınar","",5,5
"Yusuf Emlak Arsa Ofisi","","Fırat, Kayapınar","",5,1
"AMED PROPERTY","0546 940 21 21","Bağcılar Mahallesi Evrim Alataş Caddesi, Zana 10 Cennet Evleri Altı No: 13/D, Bağlar","",4.1,22
"Bülent 2 Emlak","0537 589 81 90","Bağcılar, Bağlar","",3.8,10
"Fin Emlak Danışmanlık","0532 132 86 46","star yapı batışehir, Talaytepe, 4023 sokak E blok altı, Kayapınar","https://www.finemlak.com/",3,2
"Fidan Emlak","0532 402 17 56","Üçkuyular Mahallesi, Araştırma Hastahanesi Kavşağı, Memursen TOKİ Girişi, Kayapınar","",4.4,13
"özkan emlak","0541 330 26 61","mezopotamya mah, Kayapınar","",3.7,3
"Yılmaz Emlak","0545 200 81 44","Unnamed Road, Bağcılar, Bağlar","",5,1
"Garanti Gayrimenkul","0553 161 39 84","Fırat Mahallesi 596 Sokak No 1FC Star Plus Sitesi F Blok Altı, Kayapınar","https://garantiemlak21.sahibinden.com/",4.7,41
"Özkan Emlak","0533 653 80 61","Fırat, Kayapınar","https://ozkanemlakdiyarbakir.sahibinden.com/",4.5,2
"He Han Emlak","0531 594 93 30","Bağcılar Mah. 1158. Sk. Özkılıç Kayra Sitesi Beyda Konutları A2 Blok Altı BAĞLA, Bağlar","http://www.ilanlarda.com/",5,1
"NOVA EMLAK","0532 646 31 03","Peyas, Fırat Blv., Kayapınar","https://emlaknova.sahibinden.com/",4,5
"YATIRIM GAYRİMENKUL","0546 804 01 75","Alınak lavida, Talaytepe, Diclekent Blv. sitesi altı, Kayapınar","https://yatirimgayrimenkul.sahibinden.com/",4.8,21
