name,phone,address,website,rating,user_ratings_total
"Cemax Emlak İnşaat Turizm Tic.Ltd.Şti.","(0312) 365 51 51","Balkiraz Mahallesi Mamak Caddesi 54/AZafer Apartmanı No:, Mamak","",4.3,33
"ÖZKARDEŞLER PROPERTY","(0312) 321 73 21","Etlik, Etlik Cd No:186, Keçiören","http://ozkardesleremlakgayrimenkul.com/",4.9,1172
"Solfasol Çavuş Emlak HASAN ÇAVUŞ","0536 223 06 08","Solfasol, Hacı Bayram Veli Cd. No:103, Altındağ","",4.9,25
"UZMAN EMLAK","(0312) 352 50 20","İncirli, Refik Saydam Cd. No:4/C, Keçiören","",4.9,199
"7 EMLAK GAYRİMENKUL DANIŞMANLIĞI","(0312) 325 11 00","Etlik, Etlik Cd NO:138, Keçiören","http://www.7emlak.com.tr/",4.8,86
"Fikirli Emlak","0535 620 51 56","Karargahtepe, Sanatoryum Cd. No:71-A, Keçiören","https://www.sahibinden.com/emlak/ankara-kecioren-kalaba-kalaba-mah.",4.8,128
"KuzeyKent Uzman Emlak","0532 359 66 76","Reyhan Camii, Baraj, Çağrıbey Cd Altı C Blok No:3, Altındağ","https://kuzeykentuzman.sahibinden.com/",4.8,114
"Serhat Emlak Ofisi","(0312) 318 26 48","Aydınlıkevler, Şht. Mustafa Baş Cd. No:56 B D:C, Altındağ","http://serhatemlak.com.tr/",4.7,57
"Oğul Emlak Gayrimenkul Yıldıztepe Mah. No:187/B","0554 154 07 78","Hasköy, Yıldıztepe, Celal Esat Arseven Cd. No:187 B/D, Altındağ","",4.8,54
"Güvenoğlu Emlak Ofisi","0542 134 54 74","Etlik, Ayvalı Cd. 60/A, Keçiören","",4.8,51
"Hedef Emlak Hasköy Güneşevler","0537 480 84 80","Yıldıztepe, Celal Esat Arseven Cd. No:307/A, Altındağ","https://www.sahibinden.com/emlak-konut?query_text_mf=hedef+emlak+hask%C3%B6y&query_text=hedef+hask%C3%B6y",4.6,29
"Servet Emlak","(0312) 314 09 09","Tepebaşı, Mustafa Asım Köksal Cd. 19-A, Keçiören","",5,13
"TURYAP KEÇİÖREN KURUMSAL EMLAK TEMSİLCİLİĞİ","(0312) 364 77 77","Şenlik, Şht. Tayfun Sümer Sk. 13/D, Keçiören","https://www.turyap.com.tr/ankarakecioren",4.9,215
"Mert Kardeşler Emlak","0501 131 44 09","Kuşcağız, Kartaltepe Cd. 33/A, Keçiören","https://mertkardesleremlak.sahibinden.com/",4.7,29
"PUSULA EMLAK","0542 331 25 23","Doğantepe, Şht. Hacı Osman Dugan Cd. No:12/B, Altındağ","https://pusulaemlakankara.com/",4.5,109
"Gonul Real Estate Office","(0312) 326 97 98","Ayvalı, Gazze Cd. NO:32 D:1.KAT OFİS, Keçiören","http://gonul-emlak.sahibinden.com/",4.4,50
"Ankara incirli eren emlak","0532 287 38 90","KEÇİÖREN İncirli Mahallesi Refik Saydam Caddesi No:74/A, Barış Taksinin Karşısı, Keçiören","https://www.hepsiemlak.com/emlak-ofisi/eren-emlak-111476",4.6,85
"Sungur Emlak","(0312) 323 00 87","Etlik Mahallesi Bağcı Caddesi Nu:27/B, Keçiören","",5,10
"KORU EMLAK","(0312) 378 28 88","Esertepe, Çambaşı Cd. 59/A, Keçiören","http://www.koruemlak.tr/",4.8,123
"Global Emlak","0555 015 46 64","Etlik, Adnan Yüksel Caddesi 45/C, Keçiören","https://www.emlakjet.com/emlak-ofisleri-detay/global-realty-emlak-danismanligi-muhendislik-ofisi-1572305/",4.8,21
"AĞAÇÖREN EMLAK OFİSİ","0552 357 68 68","Atapark, 340. Cd 100/B, Keçiören","",5,4
"METİNLER EMLAK ETLİK","(0312) 323 34 54","Ayvalı, Ayvalı Cd. No:121/B, Keçiören","https://metinleremlak1.sahibinden.com/",5,13
"Ayvalı Emlak Gayrimenkul","0501 042 85 00","Ayvalı, Ayvalı Cd. 133/b D:06120, Keçiören","",4.8,44
"Çözüm Emlak","","Esertepe Ahmet şefik kolaylı caddesi, 270. Sk. no 7 A, Keçiören","https://hesabim.hepsiemlak.com/portfoy/detay?realtyId=41704472",4.9,18
"GALERIA EMLAK","(0312) 325 10 00","Etlik, Gen. Dr. Tevfik Sağlam Cd No:144 C, Keçiören","",4.9,52
"Vega Emlak Güneşevler","","Yıldıztepe, 166. Cd. no:3/a, Altındağ","",5,18
"Sezgin Emlak ofisi","(0312) 321 16 66","Aydınlıkevler, Şht. Cemalettin Cd. No:13, Altındağ","http://www.sezginemlak.org/",4.5,2
"TİRYAKİ EMLAK İNŞAAT","0534 563 11 79","Ufuktepe, Baltacılar Cd. no:12/A, Keçiören","https://tiryakiinsaatemlak.sahibinden.com/",4.8,144
"KERİMOĞLU EMLAK OFİSİ","0545 554 84 69","Yayla, Seyitler Cd 59/A, Keçiören","",4.6,8
"Gayrimenkul 312 Emlak Ofisi","(0312) 380 49 49","Bağlarbaşı Kızlarpınarı Caddesi 134 /B 06 300, Keçiören","",4.6,5
"Bizim Emlak","(0312) 322 04 33","Aşağı Eğlence, Karlıova Sk. No:9, Keçiören","http://www.bizim-emlak.com/",4.9,22
"Buse Emlak","(0312) 325 26 98","Etlik, Kuyuyazısı Cd. No:36/C, Keçiören","http://www.buseemlak.com/",5,1
"OYMAKLAR EMLAK OFİSİ","(0312) 325 47 07","Emrah, Yunus Emre Cd. 62-A, Keçiören","",3.6,26
"Safir Gayrimenkul","(0312) 325 03 33","Etlik, Bağcı Cd. No:57, Keçiören","https://safirgayrimenkul06.sahibinden.com/",4.8,64
"Saber Emlak","(0312) 378 93 78","incirli sezgin caddesi sümbüllü sokak 14-a, Keçiören","http://sahibinden.com/",4.9,83
"Bülent EMLAK","(0312) 321 65 36","No:62/C, Etlik, Adnan Yüksel Caddesi, Keçiören","",4.5,85
"Metropol Gayrimenkul","0543 150 06 04","Yayla, 1540. Sk. 13/D, Keçiören","https://ofisim.sahibinden.com/ilanlarim",4.9,39
"SEYMEN EMLAK","(0312) 430 06 00","Yıldıztepe, 183. Sk. No:3 D:B, Altındağ","",5,6
"PRESTİJ EMLAK YATIRIM","0535 218 19 03","Etlik, Adnan Yüksel Caddesi no:71, Keçiören","",5,1
"Kadir Aydıntepe Emlak","","Aktepe, 951. Cd. 18/A, Keçiören","",4.9,43
"ETAP GAYRİMENKUL EMLAK","(0312) 338 97 97","Şenyuva, Defne Cd. No:1/5, Keçiören","http://etapgayrimenkul.sahibinden.com/",4.5,29
"ALTINKENT YATIRIM","0505 041 00 06","Aktepe, 951. Cd. 21/A-B, Keçiören","https://altinkentyatirim.com/",5,117
"Ismail Karadeniz Emlak","(0312) 360 00 00","Tepebaşı, Fatih Cd. No:102 D:G, Keçiören","http://www.ismailkaradenizemlak.com/",3.2,68
"Cicek Emlak","0544 322 97 93","Etlik, Ayvalı Cd. 128/B, Keçiören","",4.5,4
"Danışman Emlak Yatırım","0533 237 67 16","Karargahtepe, Sanatoryum Cd. No:29, Keçiören","",5,1
